Cliente OPC - Hora: 2025-01-30 10:50:38 Modo: Automatico | Niveis: H1=0.000, H2=0.000, H3=0.021 | Vazoes: Q1=1.150, Q2=1.692, Q3=2.618
Cliente OPC - Hora: 2025-01-30 10:50:39 Modo: Automatico | Niveis: H1=0.000, H2=0.000, H3=1.729 | Vazoes: Q1=1.200, Q2=1.800, Q3=0.000
Cliente OPC - Hora: 2025-01-30 10:50:40 Modo: Automatico | Niveis: H1=0.000, H2=1.682, H3=1.284 | Vazoes: Q1=1.300, Q2=0.000, Q3=0.648
Cliente OPC - Hora: 2025-01-30 10:50:41 Modo: Automatico | Niveis: H1=1.500, H2=0.609, H3=1.265 | Vazoes: Q1=0.000, Q2=1.150, Q3=0.695
Cliente OPC - Hora: 2025-01-30 10:50:42 Modo: Automatico | Niveis: H1=0.000, H2=0.676, H3=1.277 | Vazoes: Q1=1.425, Q2=1.080, Q3=0.719
Cliente OPC - Hora: 2025-01-30 10:50:43 Modo: Automatico | Niveis: H1=0.527, H2=0.625, H3=1.302 | Vazoes: Q1=0.844, Q2=1.235, Q3=0.720
Cliente OPC - Hora: 2025-01-30 10:50:44 Modo: Automatico | Niveis: H1=0.000, H2=0.785, H3=1.348 | Vazoes: Q1=0.917, Q2=1.318, Q3=0.762
Cliente OPC - Hora: 2025-01-30 10:50:45 Modo: Automatico | Niveis: H1=0.598, H2=0.800, H3=1.362 | Vazoes: Q1=1.571, Q2=1.178, Q3=0.720
Cliente OPC - Hora: 2025-01-30 10:50:46 Modo: Automatico | Niveis: H1=0.000, H2=0.850, H3=1.379 | Vazoes: Q1=0.957, Q2=1.229, Q3=0.729
Cliente OPC - Hora: 2025-01-30 10:50:47 Modo: Automatico | Niveis: H1=0.758, H2=0.879, H3=1.392 | Vazoes: Q1=1.715, Q2=1.220, Q3=0.727
Cliente OPC - Hora: 2025-01-30 10:50:48 Modo: Automatico | Niveis: H1=0.000, H2=0.912, H3=1.404 | Vazoes: Q1=0.913, Q2=1.234, Q3=0.729
Cliente OPC - Hora: 2025-01-30 10:50:49 Modo: Automatico | Niveis: H1=0.938, H2=0.939, H3=1.415 | Vazoes: Q1=1.847, Q2=1.237, Q3=0.730
Cliente OPC - Hora: 2025-01-30 10:50:50 Modo: Automatico | Niveis: H1=0.000, H2=0.965, H3=1.425 | Vazoes: Q1=0.831, Q2=1.244, Q3=0.730
Cliente OPC - Hora: 2025-01-30 10:50:51 Modo: Automatico | Niveis: H1=1.098, H2=0.988, H3=1.434 | Vazoes: Q1=1.962, Q2=1.248, Q3=0.731
Cliente OPC - Hora: 2025-01-30 10:50:52 Modo: Automatico | Niveis: H1=0.000, H2=1.009, H3=1.441 | Vazoes: Q1=0.753, Q2=1.253, Q3=0.732
Cliente OPC - Hora: 2025-01-30 10:50:53 Modo: Automatico | Niveis: H1=1.235, H2=1.028, H3=1.448 | Vazoes: Q1=2.060, Q2=1.256, Q3=0.732
Cliente OPC - Hora: 2025-01-30 10:50:54 Modo: Automatico | Niveis: H1=0.000, H2=1.045, H3=1.454 | Vazoes: Q1=0.686, Q2=1.259, Q3=0.732
Cliente OPC - Hora: 2025-01-30 10:50:55 Modo: Automatico | Niveis: H1=1.351, H2=1.061, H3=1.459 | Vazoes: Q1=2.144, Q2=1.262, Q3=0.733
Cliente OPC - Hora: 2025-01-30 10:50:56 Modo: Automatico | Niveis: H1=0.000, H2=1.075, H3=1.464 | Vazoes: Q1=0.628, Q2=1.264, Q3=0.733
Cliente OPC - Hora: 2025-01-30 10:50:57 Modo: Automatico | Niveis: H1=1.450, H2=1.087, H3=1.468 | Vazoes: Q1=2.214, Q2=1.266, Q3=0.733
Cliente OPC - Hora: 2025-01-30 10:50:58 Modo: Automatico | Niveis: H1=0.000, H2=1.099, H3=1.472 | Vazoes: Q1=0.579, Q2=1.268, Q3=0.733
Cliente OPC - Hora: 2025-01-30 10:50:59 Modo: Automatico | Niveis: H1=1.500, H2=1.109, H3=1.475 | Vazoes: Q1=2.274, Q2=1.270, Q3=0.734
Cliente OPC - Hora: 2025-01-30 10:51:00 Modo: Automatico | Niveis: H1=0.000, H2=1.118, H3=1.478 | Vazoes: Q1=0.577, Q2=1.271, Q3=0.734
Cliente OPC - Hora: 2025-01-30 10:51:01 Modo: Automatico | Niveis: H1=1.500, H2=1.127, H3=1.480 | Vazoes: Q1=2.327, Q2=1.273, Q3=0.734
